String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String
ID,Sec_word,word1,word2,word3,word4,word5,word6,word7,word8,word9,word10,word11,word12,word13,word14,word15,word16,word17,word18,word19,word20,word21,word22,word23,word24,word25,word26,word27,word28,word29,word30,word31,word32,word33,word34,word35,word36,word37,word38,word39,word40,word41,word42,word43,word44,word45,word46,word47,word48,word49,word50,word51,word52,word53,word54,word55
Man00,1,0,0,一阵邪风...;这个地形，总感觉不太好,0,但愿只是乱想,0,5...嗯,0,3嘁，距离村庄还有很长一段距离;但是却感觉恶意越来越近了,4数只低等怪物吗？;不，还有一个...,海洛！,0,5...哼，睡得真死;主动出击吧,看气息，大概是一群流寇;乌合之众,3我一个人就足够了,0,5...还是醒了吗;那就起来活动一下,0,嗯，一些不入流的货色,0,不会，没有感觉到邪能的气息,0,5...驾车更累;上了！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Woman00,1,0,0,0,乱想什么呢,0,专心驾车吧;我先休息一会,0,0,0,0,0,zzz...,0,0,0,怎么停车了？,0,魔物？,0,...会与邪能有关吗,0,那就确实只能当活动活动筋骨了;坐车真累啊,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
God00,1,荒凉旷野;两侧山峦一眼望不到头;一辆马车在较为平缓的山道中驰骋,阴云密布;一阵寒风吹过;隐蔽之处似乎有邪祟蠢蠢欲动,0,0,0,0,0,一个小时后,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Man01,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Woman01,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
God01,1,游戏教学环节\n该环节在本场战斗结束后可以在菜单界面“旅者之书”回顾,游戏机制介绍：\n屏幕左上和右上所显示的分别为男主和女主的生命值、魔法\n值、行动力\n生命值HP：该值降至0以下时对应角色死亡\n男女主任意一人死亡都会导致游戏失败\n魔法值MP：玩家使用大多数技能时需要消耗魔法值\n行动力AP：玩家移动、行动时一般需要消耗行动力，在每\n个角色回合开始时补至上限,本游戏战斗环节介绍：\n每个轮次每个角色行动一次，依次为：\n男主艾珀->女主海洛->敌方Npc\n每个角色的回合又分为两个阶段：\n移动 和 行动,一.移动阶段：\n进入该阶段后，玩家需通过按下WASD键移动光标位置\nSpace空格键即可令角色移动到光标位置,关于移动的规则1：\n一般地，同等高度下每移动一格需要消耗角色一点行动力\n移动阶段所显示的白色地块为玩家本回合能达到的位置\n玩家实际移动路径与光标移动路径无关\n移动阶段所保留的行动力可用于本回合行动阶段,关于移动的规则2：\n本游戏中男主攀爬力为3、女主攀爬力为2\n面对相邻、高度不同的地块，玩家一步仅能跨越高度差绝对\n值不大于自身攀爬力的相邻地块\n在跨向更高的地块时需要消耗等同于高度差的行动力\n在跨向更低的地块时，只要能够跨越则均只消耗1行动力,关于移动的规则3：\n角色在移动过程中可以穿过友方所在地块，\n但不能停留在友方所在地块\n若光标停留在该角色本身所在地块\n视为跳过该角色的移动阶段\n即保留全部行动力进入行动阶段,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Man02,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Woman02,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
God02,1,二.行动阶段：\n玩家需使用鼠标点击屏幕下方的按钮决定行动方式\n大体分为：攻击、特殊技能、防御、返回、结束\n除返回键外，选择其他的行动都会结束对应角色的回合\n即选择行动后本回合不可以再移动,攻击：\n即普通攻击，通常攻击距离为1\n在选中该按钮后，依然需要使用键盘WASD键控制光标移动\n与移动同理，将光标移动到想要选择的目标后按下\nSpace空格键确定选择位置\n普通攻击所能选择的合法目标为敌方Npc,防御：\n使用后直到对应角色的下个回合开始时，提高角色自身的\n防御值、格挡率\n返回：\n玩家行动阶段时可随时通过该按钮回到该角色的移动阶段\n结束：\n结束该角色的行动阶段，进入下一个角色的回合,男主技能系统：\n男主的技能系统分为三个部分：元素魔法、空间魔法、邪能\n每一类元素魔法分为两个技能，其中单体魔法需要选定敌方\nNpc，群体魔法则无限制\n将鼠标移动到对应技能按钮即可得到对应技能信息,空间魔法：\n本游戏男主空间魔法共有两个：转移和干涉\n注意：空间魔法一般需要消耗男主的全部行动力\n若要使用该类技能，移动阶段需要停留在原地,邪能：\n本游戏男主的邪能技能共有两个，该系列技能的伤害、恢复\n效率会基于战斗开始时男主的侵蚀度得到加成\n特别注意：\n使用邪能系列技能不消耗魔法值，但会增加男主的侵蚀度\n当男主侵蚀度达到100时游戏就会失败\n侵蚀度会在菜单界面显示，请玩家慎重使用该系列技能,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Man03,1,5喂，别又一个人冲过头了;骑士打起架来都是这样么...,0,5应该是她自己的问题,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Woman03,1,0,快跟上！,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
God03,1,0,0,0,本关目标：打倒哥布林,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Man09,1,5嘁，真是浪费时间;赶紧赶路吧，争取在天黑前赶到下一个村子,0,喂，说好的换着来呢,0,5这种程度还能累到骑士团长大人？,0,？,0,？？？,5差不多得了;骑士“大人”还是好好休息吧,0,0,4...混蛋,0,0,0,0,0,喂，醒醒，到了！,0,5那下次你驾,0,3等等，先别吵,0,这附近，有微弱的邪能气息,0,5哼，突然想起一些不好的回忆,0,5二话不说就砍过来了...,0,...嗯...难以反驳,0,5... ...,0,...嗯,,,,,,,,,,,,,,,,,,,,
Woman09,1,0,5啊，好累好累;艾珀你不介意再驾会儿车吧,0,5打完架比想象中累呢,0,5战斗中明明把我当肉盾用呢,0,5躲在后面甩魔法真是轻松呢,0,0,1G嘿，承蒙照顾啦,3还有，已经退役了，别那么叫我,0,0,0,0,0,0,0,...嗯...嗯？终于到了，好慢啊,0,那下次再说,0,？,0,3果然是这里，终于追上了,0,5咱俩相遇时的事？,0,... ...抱歉...;但是没有我的话;谁知道你现在已经被邪能侵蚀成什么样了,0,言归正传;虽然我姑且是休息好了;但你不要紧嘛,0,... ...;先休息休息吧，做好万全准备再行动;这次不会放跑他了,0,,,,,,,,,,,,,,,,,,,,
God09,1,0,0,0,0,0,0,0,0,0,0,0,0,0,一段插曲过后,蓝袍男子和银发骑士驾驶的马车再次奔跑在旷野之上,... ... ...,... ...,...,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Man10,1,这里的气息很浓，那个术师肯定就在这里;与我相同的力量吗，他究竟会知道些什么呢,0,0,0,0,4什么人！,0,4什么？,0,5（这挥剑也太快了！而且为什么力度还能这么足;要想办法反击！）,0,0,4（得手了！这样应该会让你失去平衡）,0,4（去死吧）,0,3（不好！！！）,0,0,0,0,0,5（千钧一发...左臂伤势不轻;但这是什么，是剑术吗;怎么有人会在那种姿势下发起进攻）,（如此惊人的灵巧度和判断力;究竟是...）,0,4（居然知道空间魔法！到底是......难道是追兵？）,5什么拉...拉不拉多家族，鬼扯什么呢;事先说好，我不属于这里,5只是这里散发出的能量;与我身上一种不知名的力量极度相似;所以才来这里探索,想必，你的目标不是我;井水不犯河水，不如就此别过,0,0,0,0,5（试探？若不是及时用魔法转移;刚才一定会被毫不犹豫地斩杀）,0,4（邪能？！）,5...;你会信任突然向你砍来的不明人士吗,0,0,5（似乎是那种传统的老好人么;如果真想置我于死地的话;或许不会跟我说这么多;暂且相信她吧，只是仍得留心戒备）,叫我艾珀就好;真要问，我倒是有一点很好奇;获得邪能的条件，是什么？,0,5哼，也就嘴上说的好听;那就别嗦了，抓紧动身;也许这片地牢的主人会告诉我们答案,0,0,0,,,,,,,,,
Woman10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,拉德家族销声匿迹已有十年之久;没想到今天还能有幸见识空间魔法,0,0,0,0,0,5（地牢之主...果然不是他;那个下三滥的术师，不可能会有如此剑术）,5（能使出空间魔法只有拉德家族的人;为什么会不承认呢...）,方才抱歉，只是想试探下阁下;,0,5阁下刚提到不知名的力量？;如果是跟这座地牢满溢的气息相近...;那种力量在帝国有所记载，称为邪能;既然你我目标一致，不如暂且合作,0,0,我是海洛・薇丝，叫我海洛就好;我在军队待过一段时间，有幸读过不少邪能的资料,5只知道，倘若过度使用这份力量;很有可能会迷失自我;方才多有得罪，若不介意，我愿意为您解答疑惑,0,0,...;...不知道,0,0,唔...嗯，等...;算了，走就走吧,0,,,,,,,,,
God10,1,0,艾珀一个人悄无声息地在遗迹里前进\n或许是他习惯了黑暗\n或许是他融入了黑暗;他看起来，就像是这里的主人\n仅凭气息上，他似乎就是这里的主人\n正因如此...,――唰！――;;――锵！――,像是黑夜中突然闪出的黎明;顷刻间，带有微光的剑刃砍向了艾珀,对于独自流浪生活十年之久的艾珀;这种偷袭，他经历太多了;看到剑光的瞬间;艾珀立刻拔剑挡下那突如其来的一击,0,话音未落，在艾珀弹开剑的瞬间;剑刃再次携着微光从另一个角度袭来;砰！,0,凭着本能，艾珀勉强挡住了第二剑;无暇喘息，如同刚才，对方紧接着挥出了下一剑,0,面对袭来的第三次斩击;感到迫近死亡的艾珀，迅速预测出剑刃的轨迹;并在提剑招架的同时为剑刃附着风魔力,砰！;剑戟声响起;艾珀立即卸力，利用风魔力滑开了袭来的剑刃,0,艾珀抓住机会立马挥剑向对方斩去,0,但在下一个瞬间，出现在艾珀视线中的;并非预想般的鲜血;而是从斜下方再次向自己头部袭来的剑光,0,千钧一发之际，艾珀用挥手护向头部;同时手指上魔戒发出光芒,... ...,剑刃还没来得及完全撕裂艾珀的手臂;而对方先一步消失,此刻，寄宿于魔戒中的;拉德家族代代相传的空间魔法发动,艾珀本不想就此暴露自己的身份;但若不这么做，接下来只需要一秒;对方就足以斩杀自己了,0,0,0,0,0,0,0,艾珀试图用语言拖住对方，同时运转自身魔力;以及那股与地牢气息相同的黑暗之力;来恢复左臂的伤势,0,0,0,0,0,0,0,0,0,0,0,0,0,左臂伤势基本恢复;艾珀“从容”地向地牢深处走去;眼神不停瞟向海洛持剑的手臂,0,二人保持着一定距离，互相警戒着向深处走去,,,,,,,,,
Man20,1,0,4呜... ...;海洛！,0,0,0,5呃...没事;不过，为什么你会在我的房间;说到底，我这是睡到哪了,0,5少自吹自擂了，这还不是拜你所赐,0,1这还差不多;总之，很累了，快睡觉吧;明天可能还有一场恶战,0,（刚刚，那到底是什么声音;很熟悉，但却完全分辨不出来是谁;甚至连男女都分辨不出来）,（是海洛？是弟弟？还是父母...;是在我身上纠缠的梦魇，还是说预示着什么呢...）,0,海洛，准备好了吗,0,5这股气息还很微弱;一般人察觉不到异常;除非是...,0,没错，对我而言;他的气息已经足够强烈了,我能感受到...;那个术士应该在村子的西北方向,0,我有留心收敛气息，对他来说，\n不过是奔腾的河流中滴入了一滴水的程度\n毕竟，他被邪能侵蚀的程度远大于我,0,5你当时可把他伤的不轻\n身体越是虚弱，就越容易被侵蚀\n自然没法很好地掌控这股力量,0,0,在你帮助我意识到邪能的存在后\n我就在不停解读它并练习掌握它,在这个过程中我发现\n邪能的本质与魔力并没有太大的差别\n跟学习一门新魔法一样，这并不难,而我已经了解到的这些规律\n虽然可能没有足够的证据证明可靠性,但是作为这股力量的持有者\n我会自然而然的认可这些猜想,仿佛我就是邪能真正的主人一样\n而说到邪能和魔法的区别......,0,0,......魔法会消耗魔力，\n但我却感受不到邪能会消耗什么\n甚至可能是越用越多的那种，我猜测......,0,......简单概括的话就是这些，你怎么想的,0,0,5哼...,0,嗯，一旦足够接近他\n就一定会引起他的注意,3所以一旦出发，我们最好就别停下了\n直奔目标吧,0,0,0,哈...哈...呼...;累点？边冲刺边处理杂鱼\n我都感觉快要吐了,0,可...可恶......不过\n到这里就不用这么急了，他的气息已经很近了\n他不可能逃得掉,0,分头行动，堵死出路\n有情况随时呼唤我\n碰到那个术士我就用传送...,0,（...所以说这个女人...\n不担心自己会有危险吗）,,,
Woman20,1,0,0,0,0,5怎么了？,0,旅店，而且还只剩一个房间了;你一进门倒头就睡，行李没收拾衣服都没换;不过... ...没忍心叫醒你,0,明明是你缺乏锻炼...;...呜...;...下次坐马车让你多休息一次,0,1嗯，晚安,0,0,0,0,当然;我们尽快出发吧;看上去邪能还没有对当地人产生太大的影响,0,5同样拥有邪能的人？,0,0,5但是...;照你这么说，在我们踏入村子的同时;他应该也感受到你的存在了吧,0,所以说，他没办法像你一样收敛气息？,0,这种程度的设定倒也还能接受,5但我不理解，为什么我们初次见面时\n你明明一点都不了解你身上的邪能\n可是现在反而说出这么多我都没有查阅到\n的信息,0,0,0,0,0,5（呜哇......;一说到魔法什么的\n这个人就变得唠唠叨叨的）,5（明明平时一个字都不想多说\n还说什么学一门魔法不难...）,0,（呃......停不下来了）,0,哎？什么......\n别跟我提魔法啦,5就连剑附魔这种简单魔法我都是花了好久才学会\n哪懂你说的那些理论...,0,5总之总之，赶紧行动吧,0,0,3好，速战速决！,0,呼哧;比想象中要累点呢,0,所以说你缺乏锻炼啊\n真应该让你体验下军队里的生活呢,0,前面有两条路,0,好嘞，遇到危险就传来我这边吧,0,,,
God20,1,“喂......艾珀..........\n.........快来...............;.................救我.......”,0,奔波劳累一天，好不容易躺在床上开始休息的艾珀\n被一阵熟悉的声音唤醒,艾珀睁眼，迅速观察周围，寻找海洛的身影;不像想象中的样子，海洛正安然坐在另一张床上,0,0,0,0,0,0,0,0,0,次日,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,... ... ...;... ...;...,0,0,0,0,0,0,0,0,,,
Man21,1,如此安静...;不知道海洛那边什么情况,先往内部深入吧,等等，房间中间那股气息;果然又藏起来了；尽快击破祭坛四周的媒介吧,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Woman21,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
God21,1,0,0,0,请深入遗迹，用普通攻击破坏四处媒介;在媒介被破坏前，遗迹内会不断生成幽灵;在被阻挡难以接近媒介时\n请善加使用空间魔法“转移”,另：本关镜头为俯视,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Man22,1,0,现身吧，邪祟,0,0,已经神志不清了吗;这样也问不出什么东西了,0,？,0,0,什么？！,你到底还知道什么！,0,0,0,可恶，完全没法沟通,0,嗯！,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Woman22,1,好，这样一来就破坏全部媒介了,0,0,0,0,0,0,0,拉德？！,0,0,艾珀？,0,0,0,艾珀！先打倒他,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
God22,1,0,0,随着祭坛媒介的破坏;藏匿于邪能中的邪术师逐渐现出身形,“呜...破...坏;...毁...灭...”,0,"""...弗..尔...""",0,“..拉...德..”,0,0,0,0,“...破...坏...”,喃喃自语的邪术师的手中闪出黑光,0,0,0,目标：击败邪术师,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Man29,1,0,0,0,这感觉是...;海洛！先离开这儿,（好像来不及了..;直接用空间魔法！）,0,0,0,0,0,很累就是了...;...我感受到体内的邪能在暴动,..仿佛在受他召唤;就在刚才，遗迹那里的邪能气息更重了;多半是...自爆吧,0,邪能的气息太重了;即使是你也会被邪能侵蚀;我去看看,0,够用传送逃跑了..,0,！;你...,（小声）...多在乎自己一点啊,0,没什么，先进去吧;感到不适的话我们立马就走,0,0,0,不，不是;我确实叫艾珀;艾珀・拉德...,抱歉，向你隐瞒了姓氏,0,弗尔是我的弟弟;奇怪的是，在我记忆中;他和我父母都死于十年前...,0,0,0,你可真博学啊;高层对此闭口不谈？;本来我确信正是他们下的毒手,0,刚才邪术师喊出了弗尔;我想不到他能和我弟弟有什么联系;要么弗尔还活着...,0,没错，理性来讲确实如此;但在我的记忆中;我的家人都死于帝国军人之手,但是联系到我这不知来源的邪能;这件事出现了新的线索;我终于离苦苦追寻的结果近了一步,在记忆有所缺失的基础上;不得不承认;我的记忆也有被篡改过的可能性,0,怎么了？,0,...我不会迁怒于你;正如你所说;我没有完全被邪能侵蚀也多亏了你,0,我要回一趟祖宅;在那里，说不定我能找回记忆...;...或者找到新的线索,弗尔...;虽然我已经忘了他的样子;但是...他要是还活着...就好...,你呢？;这个事件姑且告一段落了;你又有什么打算...,0,哈？;原来你这么闲吗;还是另有所图,0,0,哈哈哈;我还怕骑士大人嫌弃我呢,0,嗯，明天启程,,
Woman29,1,0,0,0,0,0,等,0,0,0,...以前可没见过你同时传送两个人;发生了什么？,0,0,回去确认一下吗,0,你一个人能行吗,0,我要跟你一起进去,0,0,？;没听清;你说什么？,0,0,0,是叫那个吗;弗尔...拉德？;这是你的真名？,0,0,没事哦;（反正也没隐瞒住）,0,什么？！;当年的真相竟是这样吗...;,据记录\n拉德家族成员于距今十年前的某天全部失踪;内部猜测是有其他任务暂时离开...,国家高层则对这件事闭口不谈;到底是什么事故...,0,什...;...本来？,0,要么这后面另有幕后黑手？,0,0,0,...;...抱歉,0,也许我不该追问;原来你有这样的过去...,0,...;..接下来，你会怎么做,0,0,0,继续跟你一起,0,我们所要探寻真相；很可能是同一件事,...只要你还没嫌弃我,0,既然目前互不嫌弃;那就再互相打扰一段时间吧,0,,
God29,1,“...弗..尔...;..拉...德..”,“我....恨...”,邪术师的声音越来越小;面目逐渐狰狞,0,0,0,二人的身影瞬间消失;只留邪术师还在低语,数秒之后，遗迹归于寂静;邪术师的身体爆裂开，体内邪能迸裂而出;整个遗迹充满了不祥的气息,与此同时，刚才还在战斗的二人现身于村庄...,0,0,0,0,0,0,0,0,0,0,0,0,二人再度进入遗迹，没有发现邪术师的踪影...;...或者遗骸,很快，二人离开了这个只有邪能的地方,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Man30,1,0,怎么了？,0,走大路，坐马车的话;大概需要两三个月,0,那就得给你讲讲我这十年的故事了;太长了，有空慢慢再说吧;,0,也可以走另外一条比较危险的路;要经过雪地和火山;但是这样一个月之内就能到达,0,...,0,（这些地方我都去过\n多半没什么跟邪能有关的线索\n但是...）,知道你闲不住...;不过可不要大意;运气不好会遇到一些传说中的魔物,很危险,0,行;那就在启程前先准备好保暖衣物吧,0,G..什么;我们直接穿过雪山区域;不准备保好暖衣物会...,0,显然不够,(雪山...;雪魁吗，希望不要遇到啊),0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Woman30,1,艾珀，有件很严肃的事要跟你讨论;,0,去你祖宅的路有多远,0,为什么这么远啊？！,0,呜，坐马车两三个月...;好折磨啊,0,就走这条路吧,0,说不定会有其他线索在这里呢,0,0,0,那也比在马车上干坐着爽快多了,0,G？,0,哦，知道了...;光凭热血果然不够吗,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
God30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,下一关卡不推荐携带冰魔戒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Man40,1,0,都说了这条路不好走...;现在后悔还来得及,0,（这人有这么讨厌坐车吗...）,接下来会更冷哦,0,喂喂，火魔法可不是取暖的程度;别作死了,0,0,0,认真的？\n还是赶紧穿过这片区域吧;多一事不如少一事...,...等等\n...这是...,怎么可能会有邪能的气息！,0,0,乌鸦嘴！;不只是邪能...,0,是雪怪\n而且身上或多或少都有邪能,（没有感受到雪魁的气息...\n...真是万幸）,海洛！\n速战速决，别在它们身上浪费太多时间！,0,呃...,...真看得开...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Woman40,1,哇啊啊啊;真的冷G,0,不会后悔的;冻成冰雕也绝对比坐车好,0,0,你戴上火魔戒能生火取暖吗,0,可...可恶,0,要是来点战斗热热身就好了,0,0,0,都已经蔓延到这种地方了吗\n没记错的话，野生的魔物很容易被邪能侵蚀变得暴躁,0,0,这是什么声音...,0,0,0,好嘞，这样应该就没那么冷了,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
God40,1,0,0,0,0,0,0,0,0,马车无法穿越雪山区域\n同行的二人徒步在雪地中穿梭\n任凭寒风呼啸而过,0,0,0,0,0,“--嘶------\n------呜-----”,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Man41,1,这些怪物都不会被附着冰元素;很麻烦...;而且数量好多;可恶,0,来了！,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Woman41,1,0,上了！\n掩护我，艾珀,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
God41,1,0,0,0,目标：击杀一定数量雪怪或坚持一定回合,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Man42,1,可恶，雪怪越来越多了\n海洛！找机会逃跑,0,0,0,雪怪们逃走了,但是...\n这个气息是,雪魁！,0,真是“走运”\n在雪地里，靠我的传送也逃脱不了雪魁的追捕,0,0,（海洛和我消耗都不小\n必要时得依赖邪能作战了）,（等等，之前感受到的邪能气息\n就是雪魁身上的吗）,（可恶，怎么什么都能跟邪能扯上关系）,0,海洛...实在撑不住交给我\n注意保护好自己！,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Woman42,1,0,嗯，敌人越打越多了,0,...什么声音,0,0,0,传说中的雪山魔物？,0,那就...\n直接迎战！,多亏了它，雪怪们已经不见踪影了,0,0,0,它冲过来了！,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
God42,1,0,0,“--嘶------\n------呜-----”,0,0,0,0,0,0,0,0,0,0,0,0,0,雪魁属性极高，并且会对被附着冰元素的\n我方单位造成额外伤害\n建议合理运用附带晕眩的技能以及男女主\n不同的防御机制应对\n（女主防御吸引攻击、男主防御则相反）,目标：打倒雪魁,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Man49,1,0,4（可恶，这样消耗下去不是办法）,0,0,0,3不好！,0,0,0,0,5海洛，你...,0,0,0,0,5...,0,5...,0,5...\n...对不起..,0,0,0,0,0,4！,0,0,3海洛！,0,0,0,5别乱动，安心躺着,0,1...安全的地方\n...没有风雪的地方,0,1...\n被你打败了,0,0,0,5...\n我的失误,下次不会了\n...还有,1多谢,0,0,1你也是,,,,,,,,,
