String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String
Woman49,1,0,0,0,3！,0,0,0,0,0,3咳...;自作主张...,0,3...等会再找你算账,现在...,4先来解决这头野兽,0,0,0,0,3...喂...\n...怎么不来帮忙..,0,0,0,0,1...咳...\n...别发呆了...,0,0,0,0,0,0,0,...咳...,0,2...嗯\n...这是哪,0,5诶诶，走出雪原了？\n等等，雪魁呢？,0,2啊哈哈...\n有点不记得了,5G？,3想起来了！\n你个混蛋自己贸然行动;...咳！,0,0,0,3哼...,1...\n你没事就好,0,,,,,,,,,
God49,1,眼看海洛在与雪魁的缠斗中\n伤势逐渐增重;,0,艾珀运转体内邪能\n当邪能之力充溢掌中\n艾珀绕到雪魁后方向它发起冲刺,0,长时间的战斗让艾珀不再像平时一样冷静\n此时的他没有想到\n本就被邪能缠身的雪魁，在感知到艾珀和他\n的邪能靠近时，立马转头向艾珀袭来,0,面对速度极快的雪魁\n艾珀来不及招架,“唰”,艾珀心跳极快\n手中邪能消散\n他似乎听得到血液滴落的声音;但身上缺没有传来预想中的疼痛感,0,0,0,0,0,虽然相处已有一些时日\n但艾珀还是第一次见海洛受如此重伤;也是第一次见她露出如此表情,0,艾珀楞在原地，没有采取任何行动\n只是看着近似发狂的海洛继续与雪魁厮杀;直到亦是强弩之末的雪魁倒下,0,0,0,艾珀从不认为自己软弱\n他只是暂时失神,他脑海中只剩海洛以超过雪魁的速度飞速冲向\n自己面前的画面;即使海洛足够快到护住自己\n她也没法快到做好招架姿势\n――雪魁的利爪在海洛身上划出很长的伤痕,失神的艾珀还在回忆\n十年的流浪教会了艾珀防备他人\n信任对于他来说是早已被遗忘的词;他在思考\n如何不信任舍命救他之人,0,女子展露出笑容不久\n再没有力气足以支撑她继续站立,0,随着海洛倒地，艾珀的意识才恢复过来;不止是意识，艾珀的心中重燃了一股躁动...,...一种早已被自己舍弃的情感,0,... ... ...\n... ...\n...,... ... ...\n... ...\n...,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Man50,1,0,5姑且刚养好伤就急着出发吗,0,0,朝着火山前进\n在到达火山之前会经过一处峡谷,0,没什么特别之处\n非要说的话...\n那里打雷的频率较其他地方较高,可能跟栖息在那里的雷电小鬼有关系\n但也有说法是雷电小鬼因为那里经常打雷\n才栖息在那,不过终归是很弱的魔物罢了\n即使遇到也不会有太大麻烦,0,5？,总之，相对雪地和火山\n那里环境没那么恶劣,0,嗯,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Woman50,1,准备出发吧,0,1不要紧不要紧,接下来往哪里走,0,5峡谷？\n有什么特别之处吗,0,0,0,5感觉又在立flag了呢,0,0,等做好准备就出发吧,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
God50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,下一关卡不推荐携带雷魔戒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Man60,1,前面就是那个峡谷了,0,+,1对你来说的话\n解解闷？,0,0,不用怕，就算很不幸被劈中了\n可能也没我的雷击魔法破坏力强,0,是的\n这种场合下，雷魔法效果有限,0,3虽然我觉得你正常挥剑那些魔物就受不住了\n带不带雷电附着区别不大,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Woman60,1,0,5呜哇\n电闪雷鸣的,0,0,5...,话说，不用做什么避雷措施吗,0,换言之，对于栖息在这里的魔物来说\n你的雷魔法效果也不一定好？,0,5那我的雷电附着也同理咯？,0,5...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
God60,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Man61,1,0,后面还有两个小鬼,0,（但这个地形...）,我们最好有所保留,0,就算不是战术\n只是吸引了两边山崖上的魔物也会很麻烦,那些小鬼跟哥布林和雪怪不一样\n他们会远程攻击\n出现在山崖上会很麻烦,1见到小鬼，我会优先用法术解决它们,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Woman61,1,3前面那是...哥布林？,0,5这种程度的话，连热身都算不上吧,0,0,担心会被伏击吗\n这些连智慧都不具备的魔物\n能想出这种战术吗,0,0,0,1那就麻烦你远程掩护了,3出击！,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
God61,1,0,0,0,0,0,0,0,0,0,0,0,目标：打倒魔物,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Man62,1,那个是...兽人吗,0,等等，山崖边上是...\n果然引来小鬼了,（小鬼和兽人的机动力都很差\n要么迅速击杀兽人离开\n要么先用法术清理掉小鬼),（我应该...）,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Woman62,1,0,兽人而已，我跟它们战斗过很多次了\n相比雪魁还差得远,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
God62,1,0,0,0,0,0,艾珀看向海洛，心中得出了自己的答案,,目标：击败兽人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Man69,1,1不算很难,0,3我可不想再看到你为我受伤了,0,...,0,0,0,0,0,0,0,0,...\n走吧;前面说不定还有魔物,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Woman69,1,0,5还好你这次没擅自行动啦,0,5...;还算有良心,0,0,0,0,0,0,0,0,0,0,5习以为常了...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
God69,1,0,0,0,0,0,艾珀再一次陷入思考\n思考着这趟旅途的目的,是追查邪能的来源\n还是追寻当年的真相;但那之后呢？,即使寻得了过去的真相\n自己未来的路又通向何方呢,他早已抛弃所谓梦想\n直到不久前自己行动的目的也就只有\n所谓过去的真相,即使是现在，他对当一名英雄\n也不像儿时那样向往;他不屑于拯救与他毫不相干之人,也正是现在\n他意识到有他想要保护的存在,愧疚？\n或者仅仅是想要报恩吗？,他还没有得出答案,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Man70,1,0,...\n猜猜我那几个魔戒是从哪里得到的？,5这十年来我算是游荡过各处吧\n现在想想能活到现在真是奇迹,0,5如今总算离我所追寻的真相近了一步,或许，只差前面那座火山了,0,0,0,3没听说过这种事\n黑龙也是,这里大概只是因为地形\n行路不便,0,"在进入火山区域之前应该还有一处村庄,我们去那里补给吧",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Woman70,1,5真是神奇的峡谷;你是怎么知道这条路的\n一路上都是各种奇景,0,0,1也算一种历练\n很厉害了,0,0,这处火山我有所听说\n有人见过黑龙盘踞在此,曾经帝国派过队伍讨伐\n但却并没有找到黑龙,而且黑龙也并没有过袭击他人的记录\n后来也就不了了之了,0,0,...,0,嗯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
God70,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Man80,1,0,3...确实.\n..应该是这里,0,0,0,？,0,0,3（怎么可能放着你一个人不管）,我已经熬了十年,1不缺这一会儿时间,0,0,越是靠近深处，就越是有种熟悉的感觉..,0,邪能会试图占据生物的意识\n展现它的破坏欲,回想起来，当时走出雪山的时候\n一旦自身意志不够强烈\n很可能自己的本质都会变成邪能,这或许是一种有知性的能量体\n知性较低的生物很容易便被侵蚀\n被邪能所奴役,也就是说，看上去是龙\n实则它的本质就是只知道破坏的邪能罢了,0,0,1或许曾经会;但现在，对于我自己\n我已经有能胜过它的执念了,0,（或许不是）,1或许吧,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Woman80,1,3这里是...\n..你说的村庄吗,0,0,0,3不介意..\n绕点远路吧,0,我想深入火山一趟\n如果你不想多管闲事的话...,我就自己去了\n...;之后会追上你的,0,0,0,1...谢谢,0,0,3邪能吗\n龙种也会被侵蚀而作恶..,0,0,0,0,...\n真是可怕,1但愿你不会变成那样,0,当年的真相..吗,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
God80,1,0,0,二人面前所谓的村庄\n不过是一片被焚尽的废墟,徒留石壁\n和化作焦炭的种种,0,0,0,0,0,0,0,0,......\n...,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Man81,1,这里就是最深处了,0,0,0,0,海洛...\n别让愤怒战胜理智,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Woman81,1,0,果然存在...\n栖息在火山的黑龙,被侵蚀了知性的可悲生灵,既然你会为他人带来灾厄,3那就只能讨伐你了！,0,嗯,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
God81,1,0,0,0,0,0,0,0,目标：击败黑龙,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Man82,1,0,我用魔法来解决\n这次你来掩护我,0,（这些石像承受不住我的魔法，\n用群体法术快速清理吧）,（或者用“转移”技能绕过他们？）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Woman82,1,3这些石像！\n不像是用剑能砍动的样子,0,3知道了，我来吸引他们攻击,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
God82,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Man89,1,0,3早就想说了\n这样打起架来不要命很危险啊,0,0,3(保护他人...吗),我想我做不到你那样的崇高,0,0,5..是...吗\n也许吧,4（不，海洛\n普通人民可不配承受你那崇高的善意）,4（我见过人们彼此背叛\n面对生存或是利益\n人们可以释放出你想象不到的恶意）,4（这个世界、这个社会...\n..人类，远不如你想象中美好\n你的崇高，能被多少人认可）,4（并非源于职责\n你发自内心的善良又能被多少人理解呢）,（我敬佩你，不只因为你救过我一次两次\n我由衷地希望你不会被理想背叛）,3...总之，离开这里吧,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Woman89,1,3...,0,正如你有你的执念\n我的执念就是保护普通人民,2这是支撑我走到今天的动力,0,0,1但你还是跟我一起过来了,或许像你说的\n你放弃了儿时的梦想\n但我相信你的内心深处不会只在乎自己的,0,0,0,0,0,0,0,5..嗯\n这里实在太热了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
God89,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Man90,1,终于...\n该面对过去了,我不知道自己是否有面对真相的勇气,0,0,3...走吧,0,0,即使离那里还有一段路\n我也已经能够感受到强烈的邪能气息了,3到底发生了什么,0,4...,嗯,0,0,好重的邪能气息\n海洛，你没事吗,0,0,5说不定，是因为你意志坚定\n并且与它的破坏欲不合,0,0,3！,0,3弗尔？,4（完全没有感知到他的气息\n手指上是，另一枚空间魔法的魔戒吗\n原来如此）,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Woman90,1,0,0,只是有了线索\n也许我们离真相还很远,1只要前进，就好了吧\n我们一起背负,0,0,0,0,0,无论那里有什么等着我们\n艾珀，不要迷失自我...,0,0,0,0,0,如你所说，它确实能干扰我的思维,5但强度不值一提\n几乎没有什么影响\n只是会感到有些烦躁的程度,0,1呵呵,0,0,3！,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
God90,1,0,0,0,0,0,二人离开火山，踏上这段旅途的最后一段路,......\n...,0,0,0,0,0,......\n...,很快，二人进入拉德家祖宅\n迎接他们的，除了浓重的邪能气息\n再无他物...,0,0,0,0,0,“哥哥...\n你终于回来了”,0,0,0,0,面前显得比艾珀更加阴沉的男子\n带着远比艾珀更浓重的邪能气息\n突然出现在二人身后,“好久不见啊...”,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Man100,1,弗尔？你...,0,0,0,0,弗尔，还留有意识吗,0,4你身上的邪能是\n怎么回事,0,0,0,4什？,0,0,5不...\n这不可能,0,0,0,0,3...\n我..我不知道,0,0,0,0,0,3...,0,0,0,0,0,0,（我做过这种事吗\n果然我的记忆被修改过吗...）,4（不...\n有什么地方不对劲）,（他怎么会知道我和海洛的事\n...空间魔法吗？）,4(不，不可能！\n如此强烈的邪能气息可不好隐藏，\n只要靠近我立马就能察觉到),（那么答案是...）,1弗尔，我什么时候..\n...救过海洛？,0,4戴着我族戒指的人...\n你到底是弗尔...还是邪能！,0,0,他身上的邪能气息太重，\n不得不这么怀疑,0,0,0,4海洛，追上去！,0,0,,,,,,
Woman100,1,0,0,0,0,0,0,0,0,0,3？,0,0,...,0,0,0,3在说..什么..\n..艾珀？,0,0,0,0,3不...\n我认识的艾珀不是这样的人,0,3？！,0,0,0,3...,0,0,0,3...,0,0,0,0,0,0,！,0,0,3他...不是弗尔吗,0,0,0,0,0,3走！,0,,,,,,
God100,1,0,艾珀曾经猜想过\n自己的记忆可能并不真实,现如今\n弗尔・拉德的出现更是令他确信了这一猜测,艾珀的思维陷入混乱\n他难以推理出到底发生过什么\n他的注意力集中于弗尔身上\n令他感到恐惧的邪能气息,与此同时，海洛则立刻架剑护在艾珀身前\n警惕着面前不怀善意的存在,0,“当然\n我意识非常清晰\n哥哥――艾珀”,0,“邪能？怎么回事？\n哥哥你在说什么？”,0,“如果你说的是我身上的力量\n难道不是哥哥你赐予我的吗？”,0,0,“我本来很恨你啊哥哥\n杀了我们父母，然后自己逃走\n抛下我一个\n我当时真的没法理解啊哥哥”,0,“但是现在\n我却渐渐能体会哥哥的想法了\n不陷入绝望是没办法很好运用这股力量的吧”,0,海洛的眼神变得犹豫,“哥哥难道选择忘记了这些？\n难道你在做了这一切之后\n还认为自己有权利装作一个‘好人’？”,0,“或者说哥哥只是在骗这位骑士小姐？”,0,“我可没有欺骗你啊\n据我所知，骑士小姐你是想守护他人吧”,0,“那么我有个疑问，一位曾经\n犯下过如此暴行的人\n能得到你的原谅吗\n尽管在你面前他确实算作一个好人？”,0,“还是因为他曾经救过你一命\n你就不忍心下手了？”,0,“呵呵呵哈哈哈哈\n骑士小姐认为现在的自己成为英雄了吗”,“如果没有的话\n现在有个大好的机会\n转身，将你的剑指向我那该死的哥哥”,“杀了这个害拉德家族近乎灭门的凶手！”,0,0,0,0,0,0,0,0,0,“......嘁”,0,0,海洛摆出进攻的姿势\n表情不再迟疑\n盯着自称弗尔的男子准备出手,“哈哈哈哈哈哈，\n随便你们怎么想吧”,下一刻，男子撕开空间遁入其中,0,0,二人紧随其后，在男子撕开的空间门消失前\n踏入其中,,,,,,
Man101,1,0,不知道连接的是哪里\n异空间么...,0,并非实体\n那些看上去像是魔物\n但本质则是邪能虚影,边前进边清理这些邪祟吧,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Woman101,1,"5这里是..,",0,前面那些是...一些熟悉的身影,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
God101,1,0,0,0,0,0,目标：击败所有敌方,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Man102,1,0,3你究竟是谁！,0,0,3..已经被邪能侵蚀到如此程度了吗,3不..\n现在的弗尔...就是邪能,说到底，真相离我依然很远,0,0,0,0,4好！\n我来想办法把邪能逼出他的体内,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Woman102,1,3追上他了！,0,0,0,0,0,0,0,0,0,3艾珀，只有先打倒他了！,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
God102,1,0,0,“当然是弗尔\n但...也不完全是\n我的记忆更加古早\n我的考量更加深远”,“我早已超脱弗尔・拉德这一人类存在！”,0,0,0,“真相？真相就是你也将回归本质！”,“当你能够使用邪能开始\n你就已经不再是人类\n你已经超脱了低等生物的存在！”,“来与我一起拥抱本源！”,0,0,目标：击败弗尔・拉德(？),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Man103,1,0,0,别掉以轻心\n像上次那个邪术师一样\n这股邪能可没那么容易消停下来,0,3...这次还真安静的出奇,0,4？,0,0,0,0,3我的猜测没错！\n邪能是有自我意识的存在！,所谓侵蚀\n不过就是邪能争夺身体控制权的过程,我原以为这只是一股只有破坏欲的物质,事实上他具备知性！,所有邪能都是同源的！\n这正是他知道雪原上发生的事情的原因,你所提到过的邪神确实存在\n邪能正是邪神本源！,0,3伴随着已经成长到如此地步的邪能被抽出..,0,0,0,0,0,0,0,0,4十年！\n原来是你吗,0,0,0,0,0,4可...可恶！,0,0,0,,,,,,,,,,,,,,,,,,
Woman103,1,3哈...,看着吓人\n实际上也没多大本事,0,0,0,0,0,3..什么,0,0,3到底什么情况\n越来越不清楚状况了,0,0,0,0,0,0,那现在...,0,0,0,0,拉德家族曾经封印过不少魔物\n想必它也是其中一个,0,0,0,0,0,0,0,0,0,0,0,艾珀\n迎战吧,0,0,,,,,,,,,,,,,,,,,,
God103,1,0,0,0,“......”,0,“...哥哥...\n...救我...”,0,0,“啊啊...啊啊啊...”,弗尔・拉德伴随着悲鸣倒下\n同时空间开始震颤,0,0,0,0,0,0,0,0,0,“哈哈...哈哈哈哈哈”,“拉德家的小鬼分析的还不错\n基本都没说错”,“不过，曾经吾确实只享受破坏和践踏\n但汝之祖先还教会了吾仇恨”,0,“汝人类创造出吾\n又擅自封印吾\n把吾困在这个空间”,“用汝人类的道德来看\n与母亲抛弃亲生子女有什么区别”,“在这里，吾只能等着妄想利用吾的人类\n等吾力量在汝世界中足够强大\n吾意识才能在汝世界显现”,“距吾本体上一次现界...\n用汝人类计时法的话\n差不多十年左右吧”,0,“吾本想将传承了空间魔法的该死一族\n屠戮殆尽，\n没想到汝父母拼死把吾又带到了这里\n虽然他们早已葬身此处\n但吾却也没法回去”,“不过！\n还好吾留有一手\n在吾被传送前，汝小鬼就已经被我植入了\n吾之力量”,“吾本来挺看好汝\n没想到却是汝弟更胜一筹啊\n等掌控了汝一族的空间魔法\n吾便再也不用待在这个死气沉沉的地方了”,“离同化只差一步！\n汝弟却迫不及待想见你\n害得被汝妨碍\n”,“现在\n等把汝和此女子大卸八块\n再与汝弟同化\n大业将成矣”,0,0,“凭汝二人？\n哈哈哈哈哈哈哈\n真是荒唐至极\n放马过来吧”,目标：？？？,,,,,,,,,,,,,,,,,,
Man104,1,0,3什...,0,（不好\n之前的战斗消耗太大了\n这个状态完全不是对手）,海洛，先撤！\n,0,0,现在的我们不是对手\n只有带走弗尔\n等它下次现身想办法...,0,0,4可恶！,0,0,3你要去送死吗！,0,5...为什么不一起去,0,0,0,0,5等等...\n......,0,0,5...,0,4可恶！！,（就没有什么办法吗\n就算是送死...\n...也带上我啊...）,0,0,4可是，又有什么办法！,0,0,0,4！,0,0,0,5不要...后悔..吗,1...,0,0,0,0,0,0,0,0,0,0,0,,,,,
Woman104,1,3咳...,0,0,0,0,0,什...,0,0,0,0,0,3艾珀！\n我去拖住它,0,那邪神马上就出来了\n我去干扰它\n你赶到帝国那里\n那里有办法封印弗尔，阻止同化,0,等邪神现界\n一切都完了,0,1...\n..抱歉\n...拯救世界的责任就交给你了,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3邪祟！看这边！,0,0,,,,,
God104,1,0,0,“可笑！真是可笑！\n就凭这种程度吗\n离汝父母还差得远呐”,0,0,在未知的力量爆裂开之前\n艾珀立刻施展空间魔法\n与海洛、倒地的弗尔回到祖宅里,0,0,“哈哈哈哈哈哈哈哈\n吾就知道汝会逃走;但是...\n汝逃得掉吗！”,原本昏迷到底的弗尔突然睁眼\n以邪神的口吻挑衅着二人,0,随后，弗尔挥起手施展空间魔法\n开始连接两处空间,0,0,0,0,0,二人说话间\n传送门已接近成型,0,传送门现界的瞬间\n海洛冲入其中,0,海洛进入传送门后\n没多久弗尔再次闭上眼\n传送门也随之关闭,想必正是海洛在与邪神搏命吧,0,又一次\n又一次被她所救\n很可能也是最后一次,0,0,"此时,弗尔再一次微睁双眼",“...哥哥\n...你甘心...\n重视之人...死在眼前吗”,0,“...不要让...当年的悲剧\n...重演”,弗尔将戴有拉德家另一只空间魔戒吃力抬起\n伸到艾珀眼前,“不要...\n... ...\n...后悔”,0,艾珀再次陷入思考\n他开始思考\n思考海洛对于自己的意义,他已经得到了想要的真相\n他对守护世界没有任何兴趣\n即使是陪海洛一起赴死也可以接受\n,但是...\n艾珀似乎认识到了自己真正想要的...,0,0,艾珀轻轻摘下弗尔手上的戒指...,......\n...,与此同时\n异空间里...,（送死...吗）,（海洛，你在害怕吗）,（不，我不怕\n...我早就做好了觉悟）,（只是...艾珀...\n...有些不舍）,(为梦想而死...\n也算对得起自己...吧),0,“不怕死的小姑娘\n不差这会儿时间\n吾先来会会汝！”,目标：坚持3回合,,,,,
Man105,1,0,0,0,0,0,0,0,0,0,0,0,6你也是\n少自以为是了,0,6拯救世界\n对我来说毫无意义,6我活着的意义,6就是你活着,0,0,0,0,0,0,6嗯，\n先辈能封印这邪祟到今天...,6我不会比他们做得差,0,6...\n那你就等好了,6海洛！\n还能继续战斗吗,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Woman105,1,3...咕...哈\n...咳..,0,（到此...为止了吗）,（希望艾珀...能来得及）,0,0,啊...,0,哈？,0,3艾...艾珀？,0,为什么\n为什么要做这种无意义的事啊,0,0,0,3你......,0,3小心！,0,你的空间魔法...\n比原来更强了...,等等，两枚都是空间魔戒？,0,0,0,0,0,1来了,0,,,,,,,,,,,,,,,,,,,,,,,,,,
God105,1,0,“差不多也闹够了吧\n吾对汝已经没有兴趣了\n吾来送汝解脱！”,0,0,邪神汇集能量\n准备结束这场从一开始就胜负已分\n的战斗,随后... \n邪能落下,0,“邪祟！少自以为是！”,0,邪能并未如想象中落下\n在即将接触海洛时消失不见,0,0,0,0,0,0,0,“一起送上门来可真是合了吾之心意\n那便一块死吧”,0,邪神降下的攻击再次消失,0,0,0,0,“可..可笑！\n汝父母二人已不是我对手\n汝又何来的自信”,0,0,0,艾珀的空间魔法：干涉\n得到大幅增强\n目标：击败邪神,,,,,,,,,,,,,,,,,,,,,,,,,,
Man109,1,0,6我可没有说过我能消灭你,0,6已经\n足够了,0,0,0,6不，我自有办法对付你,0,0,0,0,6来了！,0,0,0,6没事，我唯独对自己的执念足够自信,0,0,0,6比想象中顺利...,6没想到，我现在的执念居然能胜过\n存在如此之久的邪神,6不可思议,0,6是什么呢...,0,6这里已经什么都不剩下了\n该走了,0,6嗯,0,0,0,6！,6没事，先不管他了,0,0,0,6你在的地方,0,6我现在可是个定时炸弹\n得麻烦你帮我压制体内的邪神了,0,6对于我自己而言...,0,6我想守护你的理想,0,6旅途还没有结束...,6（弗尔...）,0,0,6准备好就出发？,0,,,,
Woman109,1,0,0,3...,0,0,0,0,0,0,0,4你也休想！,0,0,0,0,3艾珀，你？,0,0,0,艾珀...没事吧,0,0,0,到底是...什么执念\n我们已经寻得了真相...,0,2......,0,结束了吗...,0,0,0,弗尔...呢,0,0,嗯...,好累，终于能休息了...,艾珀，接下来，你会去哪？,0,2....,0,2...\n..可是,0,?,0,！,0,0,嗯,1那就如往常一样...,0,1好,,,,
God109,1,“小鬼，汝确实有一手\n但要想消灭吾\n还差得远呢”,0,0,0,艾珀开始汇聚魔力与自身邪能,“...\n汝这是要做什么”,“还妄想以卵击石么”,0,“休想！”,邪神不打算等艾珀出手\n率先朝艾珀发起攻击,0,海洛持剑死死护在艾珀身前\n不移寸步,0,邪神因空间魔法的影响开始扭曲,“汝？汝这是作何\n汝想与吾同化吗\n哈哈哈哈哈哈哈哈哈\n那真是求之不得”,0,0,“待汝虚弱之时\n便是尔等命丧之日！”,......,0,0,0,0,0,0,0,0,0,0,下一个瞬间，这片天地已然失去所有气息,拉德家祖宅,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
